# last update: 24-MARCH-2022
# combo:collection:skeleton
aplatform64-role:Ansible:molecule-aplatform64
aplatform64-role:Ansible:role-aplatform64-full
aplatform64-role:Licenses:git-coc
aplatform64-role:Licenses:gnu-v3
aplatform64-role:MarkDown:ansible-role-aplatform64
git-generic:GIT:generic
git-generic:Licenses:git-coc
git-generic:Licenses:gnu-v3
git-generic:MarkDown:project-generic-readme
git-generic:MarkDown:project-generic-changelog
git-terraform-module:GIT:terraform-module
git-terraform-module:Terraform:module-generic
git-terraform-module:Licenses:git-coc
git-terraform-module:Licenses:gnu-v3
git-terraform-module:MarkDown:project-terraform-module
git-terraform-module:MarkDown:project-generic-changelog
